id,key,value,type
127248,ref,30,regular
127248,name,Pentwyn,regular
127248,exit_to,A4232 Cardiff East,regular
127248,highway,motorway_junction,regular
326062,ref,30,regular
326062,name,Pentwyn,regular
326062,exit_to,A4232 Cardiff East,regular
326062,highway,motorway_junction,regular
326106,name,Coryton,regular
326106,highway,motorway_junction,regular
326106,destination,"M4, A4054",regular
326112,ref,32,regular
326112,name,Coryton,regular
326112,layer,3,regular
326112,highway,motorway_junction,regular
326112,destination,"A470 Cardiff, Merthyr Tydfil",regular
326118,ref,32,regular
326118,name,Coryton,regular
326118,layer,3,regular
326118,highway,motorway_junction,regular
326118,destination,"A470 Cardiff North, Merthyr Tydfil",regular
7360677,created_by,JOSM,regular
7360685,exit_to,A48 St. Mellon's,regular
7360685,highway,motorway_junction,regular
7360685,layer,3,regular
7360685,name,St. Mellons,regular
7360685,cy,Llaneirwg,name
7360685,ref,29A,regular
7360694,created_by,JOSM,regular
7360702,created_by,JOSM,regular
7360703,created_by,JOSM,regular
7360706,created_by,JOSM,regular
7360712,created_by,JOSM,regular
7360714,name,Pontprennau,regular
7360714,highway,motorway_junction,regular
7729446,created_by,JOSM,regular
7735877,created_by,JOSM,regular
7735878,created_by,JOSM,regular
7735879,name,Pentwyn,regular
7735879,highway,motorway_junction,regular
7735880,created_by,JOSM,regular
7735881,created_by,JOSM,regular
7735882,created_by,JOSM,regular
7735883,created_by,JOSM,regular
7735909,created_by,JOSM,regular
7735910,created_by,JOSM,regular
7735912,name,Gabalfa,regular
7735912,highway,motorway_junction,regular
7735929,name,Pontprennau,regular
7735929,highway,motorway_junction,regular
7735936,name,Pentwyn,regular
7735936,highway,motorway_junction,regular
16081190,source,PGS,regular
16081191,source,PGS,regular
16081193,source,PGS,regular
16081196,source,PGS,regular
16081201,source,PGS,regular
16081205,source,PGS,regular
16081209,source,PGS,regular
16081210,source,PGS,regular
16081213,source,PGS,regular
16081216,source,PGS,regular
16081228,source,PGS,regular
16081232,source,PGS,regular
16081234,source,PGS,regular
16081241,source,PGS,regular
16081272,source,PGS,regular
16081277,source,PGS,regular
16081281,source,PGS,regular
16081285,source,PGS,regular
16081288,source,PGS,regular
16081290,source,PGS,regular
16081292,source,PGS,regular
16081293,source,PGS,regular
16081299,source,PGS,regular
16081302,source,PGS,regular
16081305,source,PGS,regular
16081309,source,PGS,regular
16081314,source,PGS,regular
16081315,source,PGS,regular
16081318,source,PGS,regular
16081323,source,PGS,regular
16081326,source,PGS,regular
16081329,source,PGS,regular
16081334,source,PGS,regular
16081336,source,PGS,regular
16081340,source,PGS,regular
16081344,source,PGS,regular
16081353,source,PGS,regular
16081357,source,PGS,regular
16081361,source,PGS,regular
16081363,source,PGS,regular
16081367,source,PGS,regular
16081374,source,PGS,regular
16081378,source,PGS,regular
16081383,source,PGS,regular
16081390,source,PGS,regular
16081391,source,PGS,regular
16081394,source,PGS,regular
16081397,source,PGS,regular
16081416,source,PGS,regular
16081422,source,PGS,regular
16081430,source,PGS,regular
16081435,source,PGS,regular
16081440,source,PGS,regular
16081442,source,PGS,regular
16081457,source,PGS,regular
16081460,source,PGS,regular
16081464,source,PGS,regular
16081468,source,PGS,regular
16081473,source,PGS,regular
16081476,source,PGS,regular
16081480,source,PGS,regular
16081489,source,PGS,regular
16081493,source,PGS,regular
16081516,source,PGS,regular
16081519,source,PGS,regular
16081520,source,PGS,regular
16081537,source,PGS,regular
16081567,source,PGS,regular
16081571,source,PGS,regular
16081571,created_by,almien_coastlines,regular
16081589,source,PGS,regular
16081601,source,PGS,regular
16081609,source,PGS,regular
16081613,source,PGS,regular
16081613,created_by,almien_coastlines,regular
16081620,source,PGS,regular
16081626,source,PGS,regular
16081628,source,PGS,regular
16081632,source,PGS,regular
16081636,source,PGS,regular
16081641,source,PGS,regular
16081645,source,PGS,regular
16081646,source,PGS,regular
16081647,source,PGS,regular
16081651,source,PGS,regular
16081654,source,PGS,regular
16081655,source,PGS,regular
16081658,source,PGS,regular
16081659,source,PGS,regular
16081659,created_by,almien_coastlines,regular
16081661,source,PGS,regular
16081663,source,PGS,regular
16081665,source,PGS,regular
16081666,source,PGS,regular
16081668,source,PGS,regular
16081669,source,PGS,regular
16081670,source,PGS,regular
16081671,source,PGS,regular
16081697,source,PGS,regular
16081728,source,PGS,regular
16081731,source,PGS,regular
16081732,source,PGS,regular
16081734,source,PGS,regular
16081737,source,PGS,regular
16081739,source,PGS,regular
16081743,source,PGS,regular
