id,key,value,type
2954563,lit,no,regular
2954563,lanes,2,regular
2954563,oneway,yes,regular
2954563,highway,motorway_link,regular
2954563,surface,asphalt,regular
2954563,operator,Welsh Government,regular
2954564,lit,no,regular
2954564,ref,M4,regular
2954564,foot,no,regular
2954564,lanes,2,regular
2954564,oneway,yes,regular
2954564,bicycle,no,regular
2954564,highway,motorway,regular
2954564,int_ref,E 30,regular
2954564,surface,asphalt,regular
2954564,maxspeed,70 mph,regular
2954564,operator,Welsh Government,regular
2954564,type,GB:national_dual,maxspeed
2954564,carriageway_ref,B,regular
2954565,lit,no,regular
2954565,ref,M4,regular
2954565,foot,no,regular
2954565,lanes,3,regular
2954565,oneway,yes,regular
2954565,bicycle,no,regular
2954565,highway,motorway,regular
2954565,int_ref,E 30,regular
2954565,surface,asphalt,regular
2954565,maxspeed,70 mph,regular
2954565,operator,Welsh Government,regular
2954565,carriageway_ref,A,regular
2954565,maxspeed,UK:motorway,source
2954566,lit,yes,regular
2954566,ref,M4,regular
2954566,oneway,yes,regular
2954566,highway,motorway_link,regular
2954566,surface,asphalt,regular
2954566,operator,Welsh Government,regular
2954567,lit,no,regular
2954567,ref,M4,regular
2954567,foot,no,regular
2954567,lanes,2,regular
2954567,oneway,yes,regular
2954567,bicycle,no,regular
2954567,highway,motorway,regular
2954567,int_ref,E 30,regular
2954567,surface,asphalt,regular
2954567,operator,Welsh Government,regular
2954567,carriageway_ref,A,regular
2954568,lit,no,regular
2954568,ref,M4,regular
2954568,foot,no,regular
2954568,lanes,2,regular
2954568,oneway,yes,regular
2954568,bicycle,no,regular
2954568,highway,motorway,regular
2954568,int_ref,E 30,regular
2954568,surface,asphalt,regular
2954568,operator,Welsh Government,regular
2954568,carriageway_ref,B,regular
2954569,lit,no,regular
2954569,ref,M4,regular
2954569,foot,no,regular
2954569,lanes,3,regular
2954569,oneway,yes,regular
2954569,bicycle,no,regular
2954569,highway,motorway,regular
2954569,int_ref,E 30,regular
2954569,surface,asphalt,regular
2954569,operator,Welsh Government,regular
2954569,carriageway_ref,A,regular
3270377,source,PGS,regular
3270377,waterway,riverbank,regular
3270437,source,PGS,regular
3270437,natural,coastline,regular
3270465,source,PGS,regular
3270465,natural,coastline,regular
3270468,source,PGS,regular
3270468,natural,coastline,regular
3270860,source,PGS;Bing,regular
3749162,natural,water,regular
3993407,ref,SWM2,regular
3993407,name,South Wales Main Line,regular
3993407,gauge,1435,regular
3993407,layer,2,regular
3993407,usage,main,regular
3993407,source,npe,regular
3993407,tracks,4,regular
3993407,railway,rail,regular
3993407,electrified,no,regular
3993407,passenger_lines,4,regular
4083981,lit,no,regular
4083981,lanes,2,regular
4083981,oneway,yes,regular
4083981,highway,motorway_link,regular
4083981,surface,asphalt,regular
4083981,operator,Welsh Government,regular
4083983,lit,no,regular
4083983,lanes,1,regular
4083983,oneway,yes,regular
4083983,highway,motorway_link,regular
4083983,operator,Welsh Government,regular
4083984,lit,no,regular
4083984,lanes,2,regular
4083984,oneway,yes,regular
4083984,highway,motorway_link,regular
4083984,operator,Welsh Government,regular
4083985,lit,no,regular
4083985,lanes,2,regular
4083985,oneway,yes,regular
4083985,highway,primary,regular
4083985,junction,roundabout,regular
4083985,direction,clockwise,regular
4349284,direction,clockwise,regular
4349284,highway,trunk,regular
4349284,junction,roundabout,regular
4349284,lanes,3,regular
4349284,lit,yes,regular
4349284,name,Coryton Roundabout,regular
4349284,oneway,yes,regular
4349284,surface,asphalt,regular
4349286,highway,motorway_link,regular
4349286,lit,yes,regular
4349286,oneway,yes,regular
4349286,operator,Welsh Government,regular
4349286,ref,M4,regular
4349286,surface,asphalt,regular
